ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
12591,Married,Female,"30,000",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No
14058,Single,Male,"70,000",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Yes
23962,Married,Female,"10,000",0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,32,No
23419,Single,Female,"70,000",5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,39,No
21940,Married,Male,"90,000",5,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,47,Yes
23316,Single,Male,"30,000",3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,Yes
13351,Single,Female,"70,000",4,Bachelors,Management,Yes,2,1-2 Miles,North America,62,Yes
24107,Married,Male,"30,000",3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No
18153,Married,Female,"100,000",2,Bachelors,Management,Yes,4,10+ Miles,Europe,59,No
21613,Single,Male,"50,000",2,Bachelors,Skilled Manual,No,1,0-1 Miles,North America,39,Yes
18607,Single,Female,"60,000",4,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,42,Yes
26818,Single,Male,"10,000",3,High School,Manual,Yes,1,0-1 Miles,Europe,39,Yes
15382,Married,Female,"110,000",1,Bachelors,Management,Yes,2,1-2 Miles,North America,44,No
11270,Married,Male,"130,000",2,Graduate Degree,Management,Yes,3,0-1 Miles,North America,42,Yes
28758,Married,Male,"40,000",2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes
29048,Single,Male,"110,000",2,Bachelors,Management,No,3,0-1 Miles,North America,37,Yes
12033,Single,Female,"40,000",0,High School,Skilled Manual,No,2,0-1 Miles,North America,27,Yes
16791,Single,Male,"60,000",5,Bachelors,Management,Yes,3,10+ Miles,North America,59,Yes
28436,Single,Male,"30,000",0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Yes
28269,Single,Female,"130,000",1,Bachelors,Management,No,1,2-5 Miles,North America,45,No
24065,Single,Female,"20,000",,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes
25148,Married,Male,"60,000",2,High School,Professional,No,2,1-2 Miles,North America,48,Yes
26693,Married,,"70,000",3,Partial College,Professional,Yes,1,5-10 Miles,North America,49,No
25460,Married,Female,"20,000",2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes
22220,Married,Male,"60,000",2,High School,Professional,No,2,1-2 Miles,North America,49,Yes
17197,Single,Female,"90,000",5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,No
14554,Married,Male,"20,000",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,No
17203,Married,Female,"130,000",4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Yes
11663,Married,Male,"70,000",4,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Yes
26796,Single,Male,"40,000",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Yes
20380,Married,Female,"60,000",3,Graduate Degree,Management,Yes,2,10+ Miles,North America,69,No
11165,Married,Female,"60,000",0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,33,No
17541,Married,Female,"40,000",4,High School,Skilled Manual,Yes,2,2-5 Miles,North America,43,No
28228,Single,Female,"80,000",2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,50,No
26270,Single,Female,"20,000",2,Partial High School,Clerical,Yes,2,1-2 Miles,North America,49,No
17337,Single,Male,"40,000",0,High School,Skilled Manual,Yes,1,5-10 Miles,North America,31,No
17703,Married,Female,"10,000",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,No
11434,Married,Male,"170,000",5,Partial College,Professional,Yes,,0-1 Miles,Europe,55,No
