ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
12591,married,female,30000.0,4.0,graduate degree,clerical,yes,0.0,0-1 miles,europe,45.0,no
14058,single,male,70000.0,0.0,bachelors,professional,no,1.0,5-10 miles,pacific,41.0,yes
23962,married,female,10000.0,0.0,partial high school,manual,yes,2.0,1-2 miles,europe,32.0,no
23419,single,female,70000.0,5.0,bachelors,professional,yes,3.0,10+ miles,pacific,39.0,no
21940,married,male,90000.0,5.0,graduate degree,professional,yes,0.0,0-1 miles,north america,47.0,yes
23316,single,male,30000.0,3.0,partial college,clerical,no,2.0,1-2 miles,pacific,59.0,yes
13351,single,female,70000.0,4.0,bachelors,management,yes,2.0,1-2 miles,north america,62.0,yes
24107,married,male,30000.0,3.0,partial college,clerical,yes,1.0,0-1 miles,europe,43.0,no
18153,married,female,100000.0,2.0,bachelors,management,yes,4.0,10+ miles,europe,59.0,no
21613,single,male,50000.0,2.0,bachelors,skilled manual,no,1.0,0-1 miles,north america,39.0,yes
18607,single,female,60000.0,4.0,bachelors,skilled manual,yes,2.0,2-5 miles,north america,42.0,yes
26818,single,male,10000.0,3.0,high school,manual,yes,1.0,0-1 miles,europe,39.0,yes
15382,married,female,110000.0,1.0,bachelors,management,yes,2.0,1-2 miles,north america,44.0,no
11270,married,male,130000.0,2.0,graduate degree,management,yes,3.0,0-1 miles,north america,42.0,yes
28758,married,male,40000.0,2.0,partial college,clerical,yes,1.0,1-2 miles,europe,35.0,yes
29048,single,male,110000.0,2.0,bachelors,management,no,3.0,0-1 miles,north america,37.0,yes
12033,single,female,40000.0,0.0,high school,skilled manual,no,2.0,0-1 miles,north america,27.0,yes
16791,single,male,60000.0,5.0,bachelors,management,yes,3.0,10+ miles,north america,59.0,yes
28436,single,male,30000.0,0.0,partial college,clerical,no,1.0,0-1 miles,europe,30.0,yes
28269,single,female,130000.0,1.0,bachelors,management,no,1.0,2-5 miles,north america,45.0,no
24065,single,female,20000.0,2.0,high school,manual,yes,0.0,0-1 miles,europe,40.0,yes
25148,married,male,60000.0,2.0,high school,professional,no,2.0,1-2 miles,north america,48.0,yes
26693,married,male,70000.0,3.0,partial college,professional,yes,1.0,5-10 miles,north america,49.0,no
25460,married,female,20000.0,2.0,high school,manual,yes,0.0,0-1 miles,europe,40.0,yes
22220,married,male,60000.0,2.0,high school,professional,no,2.0,1-2 miles,north america,49.0,yes
17197,single,female,90000.0,5.0,partial college,professional,yes,2.0,10+ miles,europe,62.0,no
14554,married,male,20000.0,1.0,bachelors,clerical,yes,0.0,0-1 miles,europe,66.0,no
17203,married,female,130000.0,4.0,partial college,professional,yes,4.0,5-10 miles,europe,61.0,yes
11663,married,male,70000.0,4.0,graduate degree,professional,yes,0.0,0-1 miles,north america,36.0,yes
26796,single,male,40000.0,2.0,bachelors,management,yes,2.0,5-10 miles,pacific,65.0,yes
20380,married,female,60000.0,3.0,graduate degree,management,yes,2.0,10+ miles,north america,69.0,no
11165,married,female,60000.0,0.0,partial college,skilled manual,no,1.0,1-2 miles,north america,33.0,no
17541,married,female,40000.0,4.0,high school,skilled manual,yes,2.0,2-5 miles,north america,43.0,no
28228,single,female,80000.0,2.0,partial high school,skilled manual,no,2.0,1-2 miles,north america,50.0,no
26270,single,female,20000.0,2.0,partial high school,clerical,yes,2.0,1-2 miles,north america,49.0,no
17337,single,male,40000.0,0.0,high school,skilled manual,yes,1.0,5-10 miles,north america,31.0,no
17703,married,female,10000.0,1.0,graduate degree,manual,yes,0.0,0-1 miles,europe,40.0,no
11434,married,male,170000.0,5.0,partial college,professional,yes,1.0,0-1 miles,europe,55.0,no
20598,married,male,100000.0,3.0,partial high school,professional,yes,0.0,10+ miles,europe,59.0,yes
18594,single,female,80000.0,3.0,bachelors,skilled manual,yes,3.0,10+ miles,north america,40.0,yes
13826,single,female,30000.0,0.0,partial college,clerical,no,1.0,0-1 miles,europe,28.0,no
19661,single,male,90000.0,4.0,bachelors,management,yes,1.0,1-2 miles,north america,38.0,yes
14189,married,female,90000.0,4.0,high school,professional,no,2.0,2-5 miles,europe,54.0,yes
25792,single,female,110000.0,3.0,bachelors,management,yes,4.0,10+ miles,europe,53.0,no
27994,married,female,40000.0,4.0,high school,professional,yes,2.0,5-10 miles,north america,69.0,no
13453,married,female,130000.0,2.0,bachelors,management,yes,3.0,0-1 miles,north america,45.0,yes
15814,single,female,40000.0,0.0,high school,skilled manual,yes,1.0,5-10 miles,north america,30.0,no
23818,married,female,50000.0,0.0,graduate degree,skilled manual,yes,0.0,1-2 miles,north america,33.0,yes
17450,married,male,80000.0,5.0,partial college,professional,yes,3.0,5-10 miles,north america,45.0,no
23608,married,female,150000.0,3.0,high school,professional,yes,3.0,0-1 miles,europe,51.0,yes
22976,single,male,40000.0,0.0,high school,skilled manual,no,2.0,0-1 miles,north america,28.0,yes
23780,single,male,40000.0,2.0,partial college,clerical,no,2.0,0-1 miles,europe,36.0,yes
21441,married,male,50000.0,4.0,bachelors,management,yes,2.0,10+ miles,north america,64.0,no
15608,single,female,30000.0,0.0,partial college,clerical,no,1.0,2-5 miles,europe,33.0,no
14332,single,female,30000.0,0.0,high school,skilled manual,no,2.0,5-10 miles,north america,26.0,no
18572,married,female,60000.0,0.0,graduate degree,professional,yes,0.0,0-1 miles,north america,39.0,no
17048,single,female,90000.0,1.0,graduate degree,management,yes,0.0,0-1 miles,pacific,36.0,yes
26576,married,female,60000.0,0.0,partial college,skilled manual,yes,2.0,5-10 miles,north america,31.0,no
13907,single,female,80000.0,3.0,bachelors,skilled manual,yes,1.0,0-1 miles,north america,41.0,yes
19562,single,female,60000.0,2.0,bachelors,professional,yes,1.0,2-5 miles,pacific,37.0,yes
22610,married,male,30000.0,0.0,bachelors,clerical,yes,0.0,0-1 miles,europe,35.0,yes
12344,single,female,80000.0,0.0,bachelors,professional,no,3.0,10+ miles,pacific,31.0,no
20000,married,male,60000.0,1.0,graduate degree,professional,yes,0.0,0-1 miles,north america,35.0,yes
14193,single,female,100000.0,3.0,partial college,management,yes,4.0,10+ miles,europe,56.0,no
20053,single,male,40000.0,2.0,partial college,clerical,yes,0.0,0-1 miles,europe,34.0,no
21557,single,female,110000.0,0.0,partial college,management,yes,3.0,10+ miles,pacific,32.0,yes
18012,married,female,40000.0,1.0,bachelors,skilled manual,yes,0.0,0-1 miles,europe,41.0,no
23801,married,female,20000.0,2.0,partial high school,clerical,yes,2.0,0-1 miles,north america,49.0,no
25329,single,female,40000.0,3.0,partial college,clerical,no,2.0,0-1 miles,north america,32.0,no
27878,single,male,20000.0,0.0,partial college,manual,no,0.0,0-1 miles,pacific,28.0,yes
21006,single,female,60000.0,1.0,partial college,manual,no,0.0,0-1 miles,europe,46.0,yes
29133,single,female,60000.0,4.0,bachelors,skilled manual,no,2.0,0-1 miles,north america,42.0,no
28858,single,male,80000.0,3.0,bachelors,skilled manual,yes,0.0,2-5 miles,north america,40.0,no
18267,married,male,60000.0,3.0,bachelors,professional,yes,2.0,5-10 miles,pacific,43.0,no
14872,married,male,30000.0,0.0,graduate degree,skilled manual,yes,0.0,0-1 miles,north america,32.0,no
